lapangan_usaha,kode,is_utama,tahun,indeks_implisit,laju_implisit
16. Industri Pengolahan Lainnya; Jasa Reparasi & Pemasangan,SUB,False,2021,152.61,-0.16
16. Industri Pengolahan Lainnya; Jasa Reparasi & Pemasangan,SUB,False,2022,155.32,1.78
16. Industri Pengolahan Lainnya; Jasa Reparasi & Pemasangan,SUB,False,2023,158.38,1.97
16. Industri Pengolahan Lainnya; Jasa Reparasi & Pemasangan,SUB,False,2024,160.85,1.56
16. Industri Pengolahan Lainnya; Jasa Reparasi & Pemasangan,SUB,False,2025,166.65,3.6
D. Pengadaan Listrik dan Gas,D,True,2021,165.76,0.68
D. Pengadaan Listrik dan Gas,D,True,2022,170.05,2.59
D. Pengadaan Listrik dan Gas,D,True,2023,171.58,0.9
D. Pengadaan Listrik dan Gas,D,True,2024,173.92,1.36
D. Pengadaan Listrik dan Gas,D,True,2025,177.61,2.12
1. Ketenagalistrikan,SUB,False,2021,103.34,-0.04
1. Ketenagalistrikan,SUB,False,2022,105.39,1.98
1. Ketenagalistrikan,SUB,False,2023,109.96,4.34
1. Ketenagalistrikan,SUB,False,2024,118.66,7.92
1. Ketenagalistrikan,SUB,False,2025,123.78,4.31
2. Pengadaan Gas dan Produksi Es,SUB,False,2021,186.79,0.44
2. Pengadaan Gas dan Produksi Es,SUB,False,2022,191.42,2.48
2. Pengadaan Gas dan Produksi Es,SUB,False,2023,191.95,0.28
2. Pengadaan Gas dan Produksi Es,SUB,False,2024,193.09,0.6
2. Pengadaan Gas dan Produksi Es,SUB,False,2025,197.44,2.25
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,True,2021,127.88,-0.66
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,True,2022,128.66,0.62
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,True,2023,129.71,0.82
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,True,2024,135.5,4.46
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,True,2025,137.35,1.37
F. Konstruksi,F,True,2021,159.85,2.91
F. Konstruksi,F,True,2022,169.13,5.81
F. Konstruksi,F,True,2023,173.63,2.66
F. Konstruksi,F,True,2024,174.89,0.73
F. Konstruksi,F,True,2025,176.57,0.96
"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",G,True,2021,165.34,3.13
"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",G,True,2022,176.66,6.85
"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",G,True,2023,184.1,4.21
"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",G,True,2024,188.43,2.35
"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",G,True,2025,193.29,2.58
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",SUB,False,2021,152.0,1.22
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",SUB,False,2022,155.33,2.19
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",SUB,False,2023,159.42,2.64
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",SUB,False,2024,164.69,3.31
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",SUB,False,2025,167.97,1.99
"2. Perdagangan Besar & Eceran, Bukan Mobil dan Sepeda Motor",SUB,False,2021,170.4,3.69
"2. Perdagangan Besar & Eceran, Bukan Mobil dan Sepeda Motor",SUB,False,2022,184.4,8.22
"2. Perdagangan Besar & Eceran, Bukan Mobil dan Sepeda Motor",SUB,False,2023,192.43,4.36
"2. Perdagangan Besar & Eceran, Bukan Mobil dan Sepeda Motor",SUB,False,2024,196.26,1.99
"2. Perdagangan Besar & Eceran, Bukan Mobil dan Sepeda Motor",SUB,False,2025,200.41,2.11
H. Transportasi dan Pergudangan,H,True,2021,152.15,-5.33
H. Transportasi dan Pergudangan,H,True,2022,169.19,11.2
H. Transportasi dan Pergudangan,H,True,2023,169.26,0.04
H. Transportasi dan Pergudangan,H,True,2024,175.81,3.87
H. Transportasi dan Pergudangan,H,True,2025,175.76,-0.03
1. Angkutan Rel,SUB,False,2021,,
1. Angkutan Rel,SUB,False,2022,,
1. Angkutan Rel,SUB,False,2023,,
1. Angkutan Rel,SUB,False,2024,,
1. Angkutan Rel,SUB,False,2025,,
2. Angkutan Darat,SUB,False,2021,139.14,-1.43
2. Angkutan Darat,SUB,False,2022,141.63,1.79
2. Angkutan Darat,SUB,False,2023,148.26,4.68
2. Angkutan Darat,SUB,False,2024,152.15,2.63
2. Angkutan Darat,SUB,False,2025,154.09,1.27
3. Angkutan Laut,SUB,False,2021,147.03,-3.56
3. Angkutan Laut,SUB,False,2022,150.24,2.18
3. Angkutan Laut,SUB,False,2023,159.07,5.88
3. Angkutan Laut,SUB,False,2024,163.3,2.66
