kab_kota,kode,lapangan_usaha,tahun,adhk,adhb
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2021,1473.45,
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2022,1503.41,
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2023,1552.78,
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2024,1586.94,
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2025,1640.89,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2021,1010.73,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2022,975.93,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2023,955.9,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2024,936.78,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2025,974.25,
Kabupaten Karimun,C,C. Industri Pengolahan,2021,1235.09,
Kabupaten Karimun,C,C. Industri Pengolahan,2022,1269.55,
Kabupaten Karimun,C,C. Industri Pengolahan,2023,1366.48,
Kabupaten Karimun,C,C. Industri Pengolahan,2024,1724.91,
Kabupaten Karimun,C,C. Industri Pengolahan,2025,1931.9,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2021,28.53,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2022,31.52,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2023,35.0,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2024,38.37,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2025,42.2,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2021,4.15,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,4.37,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,4.4,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2024,4.53,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2025,4.8,
Kabupaten Karimun,F,F. Konstruksi,2021,1852.57,
Kabupaten Karimun,F,F. Konstruksi,2022,1923.17,
Kabupaten Karimun,F,F. Konstruksi,2023,1958.48,
Kabupaten Karimun,F,F. Konstruksi,2024,2062.28,
Kabupaten Karimun,F,F. Konstruksi,2025,2175.7,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2021,1542.52,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,1676.09,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,1800.8,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2024,1919.65,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2025,2063.62,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2021,232.22,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2022,283.17,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2023,341.0,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2024,361.46,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2025,388.57,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2021,171.54,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2022,219.8,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2023,258.85,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2024,284.14,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2025,301.19,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2021,371.11,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2022,390.39,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2023,486.26,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2024,508.14,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2025,520.84,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2021,161.22,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2022,165.06,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2023,177.49,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2024,187.61,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2025,195.3,
Kabupaten Karimun,L,L. Real Estat,2021,296.37,
Kabupaten Karimun,L,L. Real Estat,2022,306.63,
Kabupaten Karimun,L,L. Real Estat,2023,318.8,
Kabupaten Karimun,L,L. Real Estat,2024,332.51,
Kabupaten Karimun,L,L. Real Estat,2025,349.14,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2021,1.71,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2022,1.84,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2023,2.1,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2024,2.23,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2025,2.45,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,342.16,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,349.05,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,363.41,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2024,425.3,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2025,421.05,
Kabupaten Karimun,P,P. Jasa Pendidikan,2021,305.36,
Kabupaten Karimun,P,P. Jasa Pendidikan,2022,313.14,
Kabupaten Karimun,P,P. Jasa Pendidikan,2023,325.46,
Kabupaten Karimun,P,P. Jasa Pendidikan,2024,338.48,
Kabupaten Karimun,P,P. Jasa Pendidikan,2025,355.4,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2021,199.9,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2022,204.88,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2023,186.56,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2024,198.5,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2025,203.46,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2021,104.14,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2022,123.86,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2023,143.83,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2024,161.75,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2025,168.22,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2021,933.66,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2022,969.93,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2023,1005.07,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2024,1038.24,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2025,1074.58,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2021,667.28,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2022,527.15,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2023,433.89,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2024,381.82,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2025,400.91,
Kabupaten Bintan,C,C. Industri Pengolahan,2021,5587.47,
Kabupaten Bintan,C,C. Industri Pengolahan,2022,5939.18,
Kabupaten Bintan,C,C. Industri Pengolahan,2023,6151.09,
Kabupaten Bintan,C,C. Industri Pengolahan,2024,7061.45,
Kabupaten Bintan,C,C. Industri Pengolahan,2025,7838.21,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2021,21.15,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2022,21.84,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2023,23.79,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2024,25.46,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2025,27.88,
Kabupaten Bintan,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2021,8.77,
Kabupaten Bintan,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,9.09,
Kabupaten Bintan,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,9.41,
Kabupaten Bintan,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2024,9.79,
Kabupaten Bintan,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2025,10.52,
Kabupaten Bintan,F,F. Konstruksi,2021,3050.92,
Kabupaten Bintan,F,F. Konstruksi,2022,3075.02,
Kabupaten Bintan,F,F. Konstruksi,2023,3256.45,
Kabupaten Bintan,F,F. Konstruksi,2024,3500.73,
Kabupaten Bintan,F,F. Konstruksi,2025,3710.77,
Kabupaten Bintan,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2021,1360.79,
Kabupaten Bintan,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,1411.65,
Kabupaten Bintan,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,1562.75,
Kabupaten Bintan,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2024,1675.27,
Kabupaten Bintan,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2025,1809.3,
Kabupaten Bintan,H,H. Transportasi dan Pergudangan,2021,314.92,
Kabupaten Bintan,H,H. Transportasi dan Pergudangan,2022,335.24,
Kabupaten Bintan,H,H. Transportasi dan Pergudangan,2023,423.08,
Kabupaten Bintan,H,H. Transportasi dan Pergudangan,2024,452.7,
Kabupaten Bintan,H,H. Transportasi dan Pergudangan,2025,484.39,
Kabupaten Bintan,I,I. Penyediaan Akomodasi dan Makan Minum,2021,527.9,
Kabupaten Bintan,I,I. Penyediaan Akomodasi dan Makan Minum,2022,746.48,
Kabupaten Bintan,I,I. Penyediaan Akomodasi dan Makan Minum,2023,989.78,
Kabupaten Bintan,I,I. Penyediaan Akomodasi dan Makan Minum,2024,1073.91,
Kabupaten Bintan,I,I. Penyediaan Akomodasi dan Makan Minum,2025,1138.34,
Kabupaten Bintan,J,J. Informasi dan Komunikasi,2021,222.59,
Kabupaten Bintan,J,J. Informasi dan Komunikasi,2022,233.7,
Kabupaten Bintan,J,J. Informasi dan Komunikasi,2023,285.55,
Kabupaten Bintan,J,J. Informasi dan Komunikasi,2024,308.39,
Kabupaten Bintan,J,J. Informasi dan Komunikasi,2025,316.1,
Kabupaten Bintan,K,K. Jasa Keuangan dan Asuransi,2021,258.96,
Kabupaten Bintan,K,K. Jasa Keuangan dan Asuransi,2022,262.94,
Kabupaten Bintan,K,K. Jasa Keuangan dan Asuransi,2023,275.81,
Kabupaten Bintan,K,K. Jasa Keuangan dan Asuransi,2024,289.6,
Kabupaten Bintan,K,K. Jasa Keuangan dan Asuransi,2025,301.18,
Kabupaten Bintan,L,L. Real Estat,2021,180.99,
Kabupaten Bintan,L,L. Real Estat,2022,185.88,
Kabupaten Bintan,L,L. Real Estat,2023,188.95,
Kabupaten Bintan,L,L. Real Estat,2024,198.4,
Kabupaten Bintan,L,L. Real Estat,2025,208.32,
Kabupaten Bintan,"M,N","M,N. Jasa Perusahaan",2021,0.12,
Kabupaten Bintan,"M,N","M,N. Jasa Perusahaan",2022,0.13,
Kabupaten Bintan,"M,N","M,N. Jasa Perusahaan",2023,0.15,
Kabupaten Bintan,"M,N","M,N. Jasa Perusahaan",2024,0.16,
Kabupaten Bintan,"M,N","M,N. Jasa Perusahaan",2025,0.18,
Kabupaten Bintan,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,347.55,
Kabupaten Bintan,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,363.09,
Kabupaten Bintan,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,368.38,
Kabupaten Bintan,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2024,434.32,
Kabupaten Bintan,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2025,427.8,
Kabupaten Bintan,P,P. Jasa Pendidikan,2021,268.98,
Kabupaten Bintan,P,P. Jasa Pendidikan,2022,278.27,
Kabupaten Bintan,P,P. Jasa Pendidikan,2023,292.64,
Kabupaten Bintan,P,P. Jasa Pendidikan,2024,304.35,
Kabupaten Bintan,P,P. Jasa Pendidikan,2025,319.57,
Kabupaten Bintan,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2021,158.56,
Kabupaten Bintan,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2022,166.42,
Kabupaten Bintan,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2023,146.25,
Kabupaten Bintan,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2024,175.5,
Kabupaten Bintan,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2025,180.76,
Kabupaten Bintan,"R,S,T,U","R,S,T,U. Jasa Lainnya",2021,22.86,
Kabupaten Bintan,"R,S,T,U","R,S,T,U. Jasa Lainnya",2022,25.76,
Kabupaten Bintan,"R,S,T,U","R,S,T,U. Jasa Lainnya",2023,32.25,
Kabupaten Bintan,"R,S,T,U","R,S,T,U. Jasa Lainnya",2024,37.5,
Kabupaten Bintan,"R,S,T,U","R,S,T,U. Jasa Lainnya",2025,39.0,
Kabupaten Natuna,A,"A. Pertanian, Kehutanan dan Perikanan",2021,4232.74,
Kabupaten Natuna,A,"A. Pertanian, Kehutanan dan Perikanan",2022,4443.32,
Kabupaten Natuna,A,"A. Pertanian, Kehutanan dan Perikanan",2023,4511.31,
Kabupaten Natuna,A,"A. Pertanian, Kehutanan dan Perikanan",2024,4536.87,
Kabupaten Natuna,A,"A. Pertanian, Kehutanan dan Perikanan",2025,4695.66,
Kabupaten Natuna,B,B. Pertambangan dan Penggalian,2021,653.88,
Kabupaten Natuna,B,B. Pertambangan dan Penggalian,2022,662.38,
Kabupaten Natuna,B,B. Pertambangan dan Penggalian,2023,644.83,
Kabupaten Natuna,B,B. Pertambangan dan Penggalian,2024,594.34,
Kabupaten Natuna,B,B. Pertambangan dan Penggalian,2025,689.43,
Kabupaten Natuna,C,C. Industri Pengolahan,2021,373.8,
Kabupaten Natuna,C,C. Industri Pengolahan,2022,376.12,
Kabupaten Natuna,C,C. Industri Pengolahan,2023,385.37,
Kabupaten Natuna,C,C. Industri Pengolahan,2024,415.31,
Kabupaten Natuna,C,C. Industri Pengolahan,2025,446.46,
Kabupaten Natuna,D,D. Pengadaan Listrik dan Gas,2021,41.85,
Kabupaten Natuna,D,D. Pengadaan Listrik dan Gas,2022,42.96,
Kabupaten Natuna,D,D. Pengadaan Listrik dan Gas,2023,46.41,
Kabupaten Natuna,D,D. Pengadaan Listrik dan Gas,2024,49.75,
Kabupaten Natuna,D,D. Pengadaan Listrik dan Gas,2025,54.91,
Kabupaten Natuna,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2021,3.05,
Kabupaten Natuna,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,3.2,
Kabupaten Natuna,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,3.34,
Kabupaten Natuna,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2024,3.41,
Kabupaten Natuna,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2025,3.81,
Kabupaten Natuna,F,F. Konstruksi,2021,3277.67,
Kabupaten Natuna,F,F. Konstruksi,2022,3310.87,
Kabupaten Natuna,F,F. Konstruksi,2023,3658.18,
Kabupaten Natuna,F,F. Konstruksi,2024,3868.53,
Kabupaten Natuna,F,F. Konstruksi,2025,4073.56,
Kabupaten Natuna,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2021,1359.88,
Kabupaten Natuna,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,1515.22,
Kabupaten Natuna,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,1604.16,
Kabupaten Natuna,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2024,1693.83,
Kabupaten Natuna,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2025,1821.72,
Kabupaten Natuna,H,H. Transportasi dan Pergudangan,2021,656.09,
Kabupaten Natuna,H,H. Transportasi dan Pergudangan,2022,710.05,
Kabupaten Natuna,H,H. Transportasi dan Pergudangan,2023,815.99,
Kabupaten Natuna,H,H. Transportasi dan Pergudangan,2024,836.47,
Kabupaten Natuna,H,H. Transportasi dan Pergudangan,2025,896.53,
Kabupaten Natuna,I,I. Penyediaan Akomodasi dan Makan Minum,2021,228.48,
Kabupaten Natuna,I,I. Penyediaan Akomodasi dan Makan Minum,2022,257.34,
Kabupaten Natuna,I,I. Penyediaan Akomodasi dan Makan Minum,2023,327.62,
Kabupaten Natuna,I,I. Penyediaan Akomodasi dan Makan Minum,2024,341.41,
Kabupaten Natuna,I,I. Penyediaan Akomodasi dan Makan Minum,2025,351.21,
Kabupaten Natuna,J,J. Informasi dan Komunikasi,2021,464.83,
Kabupaten Natuna,J,J. Informasi dan Komunikasi,2022,499.27,
Kabupaten Natuna,J,J. Informasi dan Komunikasi,2023,598.92,
Kabupaten Natuna,J,J. Informasi dan Komunikasi,2024,598.56,
Kabupaten Natuna,J,J. Informasi dan Komunikasi,2025,582.7,
Kabupaten Natuna,K,K. Jasa Keuangan dan Asuransi,2021,66.44,
Kabupaten Natuna,K,K. Jasa Keuangan dan Asuransi,2022,71.37,
Kabupaten Natuna,K,K. Jasa Keuangan dan Asuransi,2023,77.54,
Kabupaten Natuna,K,K. Jasa Keuangan dan Asuransi,2024,83.29,
Kabupaten Natuna,K,K. Jasa Keuangan dan Asuransi,2025,86.71,
Kabupaten Natuna,L,L. Real Estat,2021,305.89,
Kabupaten Natuna,L,L. Real Estat,2022,316.03,
Kabupaten Natuna,L,L. Real Estat,2023,332.62,
Kabupaten Natuna,L,L. Real Estat,2024,351.21,
Kabupaten Natuna,L,L. Real Estat,2025,371.26,
Kabupaten Natuna,"M,N","M,N. Jasa Perusahaan",2021,0.08,
Kabupaten Natuna,"M,N","M,N. Jasa Perusahaan",2022,0.09,
Kabupaten Natuna,"M,N","M,N. Jasa Perusahaan",2023,0.11,
Kabupaten Natuna,"M,N","M,N. Jasa Perusahaan",2024,0.12,
Kabupaten Natuna,"M,N","M,N. Jasa Perusahaan",2025,0.14,
Kabupaten Natuna,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,862.62,
Kabupaten Natuna,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,884.97,
Kabupaten Natuna,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,930.37,
Kabupaten Natuna,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2024,1096.53,
Kabupaten Natuna,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2025,1080.52,
Kabupaten Natuna,P,P. Jasa Pendidikan,2021,75.2,
Kabupaten Natuna,P,P. Jasa Pendidikan,2022,76.65,
Kabupaten Natuna,P,P. Jasa Pendidikan,2023,79.62,
Kabupaten Natuna,P,P. Jasa Pendidikan,2024,82.76,
Kabupaten Natuna,P,P. Jasa Pendidikan,2025,87.3,
Kabupaten Natuna,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2021,134.5,
Kabupaten Natuna,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2022,141.28,
Kabupaten Natuna,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2023,134.47,
Kabupaten Natuna,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2024,160.83,
Kabupaten Natuna,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2025,165.12,
Kabupaten Natuna,"R,S,T,U","R,S,T,U. Jasa Lainnya",2021,18.57,
Kabupaten Natuna,"R,S,T,U","R,S,T,U. Jasa Lainnya",2022,27.81,
Kabupaten Natuna,"R,S,T,U","R,S,T,U. Jasa Lainnya",2023,33.79,
Kabupaten Natuna,"R,S,T,U","R,S,T,U. Jasa Lainnya",2024,39.18,
Kabupaten Natuna,"R,S,T,U","R,S,T,U. Jasa Lainnya",2025,39.95,
Kabupaten Lingga,A,"A. Pertanian, Kehutanan dan Perikanan",2021,685.75,
Kabupaten Lingga,A,"A. Pertanian, Kehutanan dan Perikanan",2022,696.17,
Kabupaten Lingga,A,"A. Pertanian, Kehutanan dan Perikanan",2023,710.88,
Kabupaten Lingga,A,"A. Pertanian, Kehutanan dan Perikanan",2024,712.31,
Kabupaten Lingga,A,"A. Pertanian, Kehutanan dan Perikanan",2025,735.83,
Kabupaten Lingga,B,B. Pertambangan dan Penggalian,2021,144.91,
Kabupaten Lingga,B,B. Pertambangan dan Penggalian,2022,146.56,
Kabupaten Lingga,B,B. Pertambangan dan Penggalian,2023,148.18,
Kabupaten Lingga,B,B. Pertambangan dan Penggalian,2024,159.03,
Kabupaten Lingga,B,B. Pertambangan dan Penggalian,2025,172.55,
Kabupaten Lingga,C,C. Industri Pengolahan,2021,22.48,
Kabupaten Lingga,C,C. Industri Pengolahan,2022,23.14,
Kabupaten Lingga,C,C. Industri Pengolahan,2023,23.95,
Kabupaten Lingga,C,C. Industri Pengolahan,2024,24.06,
Kabupaten Lingga,C,C. Industri Pengolahan,2025,25.5,
Kabupaten Lingga,D,D. Pengadaan Listrik dan Gas,2021,8.41,
Kabupaten Lingga,D,D. Pengadaan Listrik dan Gas,2022,8.73,
Kabupaten Lingga,D,D. Pengadaan Listrik dan Gas,2023,9.52,
Kabupaten Lingga,D,D. Pengadaan Listrik dan Gas,2024,10.05,
Kabupaten Lingga,D,D. Pengadaan Listrik dan Gas,2025,10.95,
Kabupaten Lingga,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2021,0.91,
Kabupaten Lingga,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,0.96,
Kabupaten Lingga,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,0.98,
Kabupaten Lingga,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2024,0.99,
Kabupaten Lingga,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2025,1.08,
Kabupaten Lingga,F,F. Konstruksi,2021,598.33,
Kabupaten Lingga,F,F. Konstruksi,2022,628.85,
Kabupaten Lingga,F,F. Konstruksi,2023,648.59,
Kabupaten Lingga,F,F. Konstruksi,2024,684.06,
Kabupaten Lingga,F,F. Konstruksi,2025,725.1,
Kabupaten Lingga,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2021,630.43,
Kabupaten Lingga,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,661.57,
Kabupaten Lingga,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,692.33,
Kabupaten Lingga,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2024,743.67,
Kabupaten Lingga,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2025,803.16,
Kabupaten Lingga,H,H. Transportasi dan Pergudangan,2021,38.32,
Kabupaten Lingga,H,H. Transportasi dan Pergudangan,2022,42.63,
Kabupaten Lingga,H,H. Transportasi dan Pergudangan,2023,50.67,
Kabupaten Lingga,H,H. Transportasi dan Pergudangan,2024,53.64,
Kabupaten Lingga,H,H. Transportasi dan Pergudangan,2025,57.93,
Kabupaten Lingga,I,I. Penyediaan Akomodasi dan Makan Minum,2021,67.96,
Kabupaten Lingga,I,I. Penyediaan Akomodasi dan Makan Minum,2022,73.78,
Kabupaten Lingga,I,I. Penyediaan Akomodasi dan Makan Minum,2023,88.75,
Kabupaten Lingga,I,I. Penyediaan Akomodasi dan Makan Minum,2024,99.25,
Kabupaten Lingga,I,I. Penyediaan Akomodasi dan Makan Minum,2025,105.21,
Kabupaten Lingga,J,J. Informasi dan Komunikasi,2021,123.17,
Kabupaten Lingga,J,J. Informasi dan Komunikasi,2022,128.65,
Kabupaten Lingga,J,J. Informasi dan Komunikasi,2023,153.45,
Kabupaten Lingga,J,J. Informasi dan Komunikasi,2024,155.25,
Kabupaten Lingga,J,J. Informasi dan Komunikasi,2025,158.36,
Kabupaten Lingga,K,K. Jasa Keuangan dan Asuransi,2021,26.42,
Kabupaten Lingga,K,K. Jasa Keuangan dan Asuransi,2022,27.01,
Kabupaten Lingga,K,K. Jasa Keuangan dan Asuransi,2023,28.71,
Kabupaten Lingga,K,K. Jasa Keuangan dan Asuransi,2024,29.37,
Kabupaten Lingga,K,K. Jasa Keuangan dan Asuransi,2025,30.54,
Kabupaten Lingga,L,L. Real Estat,2021,77.49,
Kabupaten Lingga,L,L. Real Estat,2022,80.8,
Kabupaten Lingga,L,L. Real Estat,2023,80.82,
Kabupaten Lingga,L,L. Real Estat,2024,84.29,
Kabupaten Lingga,L,L. Real Estat,2025,88.5,
Kabupaten Lingga,"M,N","M,N. Jasa Perusahaan",2021,0.03,
Kabupaten Lingga,"M,N","M,N. Jasa Perusahaan",2022,0.03,
Kabupaten Lingga,"M,N","M,N. Jasa Perusahaan",2023,0.03,
Kabupaten Lingga,"M,N","M,N. Jasa Perusahaan",2024,0.03,
Kabupaten Lingga,"M,N","M,N. Jasa Perusahaan",2025,0.04,
Kabupaten Lingga,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,225.72,
Kabupaten Lingga,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,232.99,
Kabupaten Lingga,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,240.05,
